,,All HRPs,White: Total,White: Scottish	,White: Other British	,White: Irish	,White: Other (1)	,Mixed or multiple ethnic groups	,Asian Asian Scottish or Asian British	,African,Caribbean or Black,Other ethnic groups
S01009342,One family household: All aged 65 and over,27,27,23,4,0,0,0,0,0,0,0
S01009342,One family household: Couple family,151,148,123,19,0,6,0,3,0,0,0
S01009342,One family household: Lone parent,51,50,48,1,0,1,0,1,0,0,0
S01009342,Other household types,9,9,8,0,0,1,0,0,0,0,0
S01009343,All households,242,237,221,12,1,3,1,3,1,0,0
S01009343,One person household,60,59,55,3,0,1,0,0,1,0,0
S01009343,One family household: Total,170,166,155,8,1,2,1,3,0,0,0
S01009343,One family household: All aged 65 and over,14,14,14,0,0,0,0,0,0,0,0
S01009343,One family household: Couple family,119,116,108,7,0,1,1,2,0,0,0
S01009343,One family household: Lone parent,37,36,33,1,1,1,0,1,0,0,0
S01009343,Other household types,12,12,11,1,0,0,0,0,0,0,0
S01009344,All households,288,284,260,21,2,1,0,3,1,0,0
S01009344,One person household,84,82,74,6,1,1,0,2,0,0,0
S01009344,One family household: Total,190,188,173,14,1,0,0,1,1,0,0
S01009344,One family household: All aged 65 and over,32,32,30,2,0,0,0,0,0,0,0
S01009344,One family household: Couple family,115,113,102,10,1,0,0,1,1,0,0
S01009344,One family household: Lone parent,43,43,41,2,0,0,0,0,0,0,0
S01009344,Other household types,14,14,13,1,0,0,0,0,0,0,0
S01009345,All households,379,374,340,27,4,3,0,1,3,0,1
S01009345,One person household,77,76,72,2,2,0,0,0,1,0,0
S01009345,One family household: Total,289,285,256,24,2,3,0,1,2,0,1
S01009345,One family household: All aged 65 and over,31,31,29,1,1,0,0,0,0,0,0
S01009345,One family household: Couple family,189,185,168,15,1,1,0,1,2,0,1
S01009345,One family household: Lone parent,69,69,59,8,0,2,0,0,0,0,0
S01009345,Other household types,13,13,12,1,0,0,0,0,0,0,0
S01009346,All households,228,217,169,34,9,5,1,8,2,0,0
S01009346,One person household,15,15,10,3,2,0,0,0,0,0,0
S01009346,One family household: Total,201,192,153,28,6,5,1,7,1,0,0
S01009346,One family household: All aged 65 and over,5,5,5,0,0,0,0,0,0,0,0
S01009346,One family household: Couple family,186,177,141,26,5,5,1,7,1,0,0
S01009346,One family household: Lone parent,10,10,7,2,1,0,0,0,0,0,0
S01009346,Other household types,12,10,6,3,1,0,0,1,1,0,0
S01009347,All households,216,209,176,27,3,3,1,3,1,1,1
S01009347,One person household,12,12,11,1,0,0,0,0,0,0,0
S01009347,One family household: Total,202,195,164,25,3,3,1,3,1,1,1
S01009347,One family household: All aged 65 and over,5,5,3,1,1,0,0,0,0,0,0
S01009347,One family household: Couple family,190,183,154,24,2,3,1,3,1,1,1
S01009347,One family household: Lone parent,7,7,7,0,0,0,0,0,0,0,0
S01009347,Other household types,2,2,1,1,0,0,0,0,0,0,0
S01009348,All households,161,156,130,22,2,2,0,4,1,0,0
S01009348,One person household,12,12,10,1,0,1,0,0,0,0,0
S01009348,One family household: Total,141,137,114,20,2,1,0,3,1,0,0
S01009348,One family household: All aged 65 and over,3,3,3,0,0,0,0,0,0,0,0
S01009348,One family household: Couple family,133,129,106,20,2,1,0,3,1,0,0
S01009348,One family household: Lone parent,5,5,5,0,0,0,0,0,0,0,0
S01009348,Other household types,8,7,6,1,0,0,0,1,0,0,0
S01009349,All households,288,271,220,42,3,6,1,9,3,0,4
S01009349,One person household,45,40,35,3,0,2,0,3,0,0,2
S01009349,One family household: Total,232,220,175,38,3,4,1,6,3,0,2
S01009349,One family household: All aged 65 and over,3,3,0,3,0,0,0,0,0,0,0
S01009349,One family household: Couple family,211,200,161,32,3,4,1,5,3,0,2
S01009349,One family household: Lone parent,18,17,14,3,0,0,0,1,0,0,0
S01009349,Other household types,11,11,10,1,0,0,0,0,0,0,0
S01009350,All households,240,228,189,31,4,4,2,9,1,0,0
S01009350,One person household,54,51,42,7,1,1,1,2,0,0,0
S01009350,One family household: Total,177,168,139,23,3,3,1,7,1,0,0
S01009350,One family household: All aged 65 and over,4,4,1,3,0,0,0,0,0,0,0
S01009350,One family household: Couple family,145,137,113,19,2,3,1,6,1,0,0
S01009350,One family household: Lone parent,28,27,25,1,1,0,0,1,0,0,0
S01009350,Other household types,9,9,8,1,0,0,0,0,0,0,0
S01009351,All households,213,199,159,30,1,9,0,10,1,1,2
S01009351,One person household,57,51,41,8,0,2,0,3,0,1,2
S01009351,One family household: Total,143,136,110,20,1,5,0,6,1,0,0
S01009351,One family household: All aged 65 and over,2,2,2,0,0,0,0,0,0,0,0
S01009351,One family household: Couple family,133,126,101,19,1,5,0,6,1,0,0
S01009351,One family household: Lone parent,8,8,7,1,0,0,0,0,0,0,0
S01009351,Other household types,13,12,8,2,0,2,0,1,0,0,0
S01009352,All households,290,281,236,37,3,5,1,7,1,0,0
S01009352,One person household,41,41,33,8,0,0,0,0,0,0,0
S01009352,One family household: Total,241,232,195,29,3,5,1,7,1,0,0
S01009352,One family household: All aged 65 and over,4,4,2,1,0,1,0,0,0,0,0
S01009352,One family household: Couple family,210,201,169,25,3,4,1,7,1,0,0
S01009352,One family household: Lone parent,27,27,24,3,0,0,0,0,0,0,0
S01009352,Other household types,8,8,8,0,0,0,0,0,0,0,0
S01009353,All households,147,144,109,28,3,4,0,2,1,0,0
S01009353,One person household,18,18,15,3,0,0,0,0,0,0,0
S01009353,One family household: Total,123,121,91,24,3,3,0,1,1,0,0
S01009353,One family household: All aged 65 and over,7,7,4,2,0,1,0,0,0,0,0
S01009353,One family household: Couple family,106,104,81,18,3,2,0,1,1,0,0
S01009353,One family household: Lone parent,10,10,6,4,0,0,0,0,0,0,0
S01009353,Other household types,6,5,3,1,0,1,0,1,0,0,0
S01009354,All households,297,282,228,49,4,1,1,12,0,2,0
S01009354,One person household,28,28,24,4,0,0,0,0,0,0,0
S01009354,One family household: Total,262,251,201,45,4,1,1,8,0,2,0
S01009354,One family household: All aged 65 and over,5,5,3,2,0,0,0,0,0,0,0
S01009354,One family household: Couple family,238,229,186,38,4,1,1,6,0,2,0
S01009354,One family household: Lone parent,19,17,12,5,0,0,0,2,0,0,0
S01009354,Other household types,7,3,3,0,0,0,0,4,0,0,0
S01009355,All households,367,365,315,44,1,5,0,0,1,0,1
S01009355,One person household,82,82,73,9,0,0,0,0,0,0,0
S01009355,One family household: Total,275,273,233,34,1,5,0,0,1,0,1
S01009355,One family household: All aged 65 and over,43,43,34,8,0,1,0,0,0,0,0
S01009355,One family household: Couple family,210,209,179,25,1,4,0,0,0,0,1
S01009355,One family household: Lone parent,22,21,20,1,0,0,0,0,1,0,0
S01009355,Other household types,10,10,9,1,0,0,0,0,0,0,0
S01009356,All households,411,404,346,55,1,2,0,6,1,0,0
S01009356,One person household,90,88,79,9,0,0,0,2,0,0,0
S01009356,One family household: Total,312,309,260,46,1,2,0,3,0,0,0
S01009356,One family household: All aged 65 and over,55,55,40,15,0,0,0,0,0,0,0
S01009356,One family household: Couple family,222,220,189,28,1,2,0,2,0,0,0
S01009356,One family household: Lone parent,35,34,31,3,0,0,0,1,0,0,0
S01009356,Other household types,9,7,7,0,0,0,0,1,1,0,0
S01009357,All households,179,170,136,26,1,7,2,6,1,0,0
S01009357,One person household,19,18,14,1,0,3,0,1,0,0,0
S01009357,One family household: Total,155,148,119,25,1,3,2,4,1,0,0
S01009357,One family household: All aged 65 and over,7,6,5,1,0,0,0,1,0,0,0
S01009357,One family household: Couple family,134,128,103,21,1,3,2,3,1,0,0
S01009357,One family household: Lone parent,14,14,11,3,0,0,0,0,0,0,0
S01009357,Other household types,5,4,3,0,0,1,0,1,0,0,0
S01009358,All households,256,249,201,41,3,4,0,5,1,0,1
S01009358,One person household,28,28,20,5,1,2,0,0,0,0,0
S01009358,One family household: Total,217,213,175,34,2,2,0,3,0,0,1
S01009358,One family household: All aged 65 and over,15,15,11,4,0,0,0,0,0,0,0
S01009358,One family household: Couple family,195,191,158,29,2,2,0,3,0,0,1
S01009358,One family household: Lone parent,7,7,6,1,0,0,0,0,0,0,0
S01009358,Other household types,11,8,6,2,0,0,0,2,1,0,0
S01009359,All households,277,270,215,40,3,12,0,5,2,0,0
S01009359,One person household,29,29,27,1,0,1,0,0,0,0,0
S01009359,One family household: Total,240,233,182,38,2,11,0,5,2,0,0
S01009359,One family household: All aged 65 and over,11,11,9,2,0,0,0,0,0,0,0
S01009359,One family household: Couple family,203,198,153,33,2,10,0,5,0,0,0
S01009359,One family household: Lone parent,26,24,20,3,0,1,0,0,2,0,0
S01009359,Other household types,8,8,6,1,1,0,0,0,0,0,0
S01009360,All households,376,369,322,37,2,8,0,7,0,0,0
S01009360,One person household,119,116,105,10,0,1,0,3,0,0,0
S01009360,One family household: Total,237,234,202,26,2,4,0,3,0,0,0
S01009360,One family household: All aged 65 and over,37,37,31,6,0,0,0,0,0,0,0
S01009360,One family household: Couple family,171,168,144,19,2,3,0,3,0,0,0
S01009360,One family household: Lone parent,29,29,27,1,0,1,0,0,0,0,0
S01009360,Other household types,20,19,15,1,0,3,0,1,0,0,0
S01009361,All households,342,335,283,48,1,3,1,5,1,0,0
S01009361,One person household,103,103,89,13,0,1,0,0,0,0,0
S01009361,One family household: Total,231,225,187,35,1,2,1,4,1,0,0
S01009361,One family household: All aged 65 and over,37,37,29,8,0,0,0,0,0,0,0
S01009361,One family household: Couple family,166,161,134,24,1,2,1,4,0,0,0
S01009361,One family household: Lone parent,28,27,24,3,0,0,0,0,1,0,0
S01009361,Other household types,8,7,7,0,0,0,0,1,0,0,0
S01009362,All households,417,408,340,62,3,3,3,5,1,0,0
S01009362,One person household,79,78,70,7,1,0,0,0,1,0,0
S01009362,One family household: Total,331,323,265,53,2,3,3,5,0,0,0
S01009362,One family household: All aged 65 and over,62,62,49,13,0,0,0,0,0,0,0
S01009362,One family household: Couple family,244,237,200,33,1,3,2,5,0,0,0
S01009362,One family household: Lone parent,25,24,16,7,1,0,1,0,0,0,0
S01009362,Other household types,7,7,5,2,0,0,0,0,0,0,0
S01009363,All households,373,372,335,33,1,3,0,1,0,0,0
S01009363,One person household,103,103,90,13,0,0,0,0,0,0,0
S01009363,One family household: Total,258,258,234,20,1,3,0,0,0,0,0
S01009363,One family household: All aged 65 and over,36,36,32,4,0,0,0,0,0,0,0
S01009363,One family household: Couple family,173,173,155,14,1,3,0,0,0,0,0
S01009363,One family household: Lone parent,49,49,47,2,0,0,0,0,0,0,0
S01009363,Other household types,12,11,11,0,0,0,0,1,0,0,0
S01009364,All households,325,322,276,42,1,3,0,3,0,0,0
S01009364,One person household,61,60,54,5,1,0,0,1,0,0,0
S01009364,One family household: Total,246,244,206,36,0,2,0,2,0,0,0
S01009364,One family household: All aged 65 and over,13,13,12,1,0,0,0,0,0,0,0
S01009364,One family household: Couple family,192,190,156,32,0,2,0,2,0,0,0
S01009364,One family household: Lone parent,41,41,38,3,0,0,0,0,0,0,0
S01009364,Other household types,18,18,16,1,0,1,0,0,0,0,0
S01009365,All households,277,276,251,19,3,3,0,1,0,0,0
S01009365,One person household,99,99,89,9,1,0,0,0,0,0,0
S01009365,One family household: Total,172,171,156,10,2,3,0,1,0,0,0
S01009365,One family household: All aged 65 and over,25,25,20,4,1,0,0,0,0,0,0
S01009365,One family household: Couple family,113,112,102,6,1,3,0,1,0,0,0
S01009365,One family household: Lone parent,34,34,34,0,0,0,0,0,0,0,0
S01009365,Other household types,6,6,6,0,0,0,0,0,0,0,0
S01009366,All households,351,344,298,33,3,10,0,5,0,1,1
S01009366,One person household,121,121,107,11,1,2,0,0,0,0,0
S01009366,One family household: Total,208,204,173,22,2,7,0,2,0,1,1
S01009366,One family household: All aged 65 and over,24,24,20,3,1,0,0,0,0,0,0
S01009366,One family household: Couple family,133,131,112,13,1,5,0,1,0,0,1
S01009366,One family household: Lone parent,51,49,41,6,0,2,0,1,0,1,0
S01009366,Other household types,22,19,18,0,0,1,0,3,0,0,0
S01009367,All households,296,291,251,28,4,8,2,3,0,0,0
S01009367,One person household,101,98,86,11,1,0,1,2,0,0,0
S01009367,One family household: Total,181,180,156,17,3,4,1,0,0,0,0
S01009367,One family household: All aged 65 and over,22,22,17,4,1,0,0,0,0,0,0
S01009367,One family household: Couple family,115,115,98,11,2,4,0,0,0,0,0
S01009367,One family household: Lone parent,44,43,41,2,0,0,1,0,0,0,0
S01009367,Other household types,14,13,9,0,0,4,0,1,0,0,0
S01009368,All households,211,206,180,23,1,2,1,1,1,1,1
S01009368,One person household,34,34,30,3,0,1,0,0,0,0,0
S01009368,One family household: Total,165,161,141,18,1,1,0,1,1,1,1
S01009368,One family household: All aged 65 and over,11,11,9,2,0,0,0,0,0,0,0
S01009368,One family household: Couple family,116,113,100,11,1,1,0,0,1,1,1
S01009368,One family household: Lone parent,38,37,32,5,0,0,0,1,0,0,0
S01009368,Other household types,12,11,9,2,0,0,1,0,0,0,0
S01009369,All households,255,254,219,31,1,3,0,0,1,0,0
S01009369,One person household,73,72,56,16,0,0,0,0,1,0,0
S01009369,One family household: Total,171,171,155,12,1,3,0,0,0,0,0
S01009369,One family household: All aged 65 and over,24,24,22,1,0,1,0,0,0,0,0
S01009369,One family household: Couple family,118,118,106,9,1,2,0,0,0,0,0
S01009369,One family household: Lone parent,29,29,27,2,0,0,0,0,0,0,0
S01009369,Other household types,11,11,8,3,0,0,0,0,0,0,0
S01009370,All households,381,375,336,35,2,2,0,5,1,0,0
S01009370,One person household,103,103,88,14,1,0,0,0,0,0,0
S01009370,One family household: Total,252,248,227,19,1,1,0,4,0,0,0
S01009370,One family household: All aged 65 and over,41,41,37,4,0,0,0,0,0,0,0
S01009370,One family household: Couple family,163,159,145,12,1,1,0,4,0,0,0
S01009370,One family household: Lone parent,48,48,45,3,0,0,0,0,0,0,0
S01009370,Other household types,26,24,21,2,0,1,0,1,1,0,0
S01009371,All households,242,237,210,25,0,2,0,3,1,0,1
S01009371,One person household,74,72,68,3,0,1,0,1,0,0,1
S01009371,One family household: Total,163,160,139,20,0,1,0,2,1,0,0
S01009371,One family household: All aged 65 and over,19,19,14,4,0,1,0,0,0,0,0
S01009371,One family household: Couple family,119,116,102,14,0,0,0,2,1,0,0
S01009371,One family household: Lone parent,25,25,23,2,0,0,0,0,0,0,0
S01009371,Other household types,5,5,3,2,0,0,0,0,0,0,0
S01009372,All households,219,217,196,20,1,0,0,2,0,0,0
S01009372,One person household,62,61,55,6,0,0,0,1,0,0,0
S01009372,One family household: Total,152,151,136,14,1,0,0,1,0,0,0
S01009372,One family household: All aged 65 and over,11,11,10,1,0,0,0,0,0,0,0
S01009372,One family household: Couple family,115,114,102,11,1,0,0,1,0,0,0
S01009372,One family household: Lone parent,26,26,24,2,0,0,0,0,0,0,0
S01009372,Other household types,5,5,5,0,0,0,0,0,0,0,0
S01009373,All households,398,396,340,49,2,5,1,0,0,1,0
S01009373,One person household,158,158,141,17,0,0,0,0,0,0,0
S01009373,One family household: Total,227,225,186,32,2,5,1,0,0,1,0
S01009373,One family household: All aged 65 and over,21,21,15,5,1,0,0,0,0,0,0
S01009373,One family household: Couple family,145,144,121,18,0,5,0,0,0,1,0
S01009373,One family household: Lone parent,61,60,50,9,1,0,1,0,0,0,0
S01009373,Other household types,13,13,13,0,0,0,0,0,0,0,0
S01009374,All households,432,427,375,39,4,9,0,3,2,0,0
S01009374,One person household,191,188,164,20,3,1,0,1,2,0,0
S01009374,One family household: Total,226,224,198,18,0,8,0,2,0,0,0
S01009374,One family household: All aged 65 and over,24,24,18,5,0,1,0,0,0,0,0
S01009374,One family household: Couple family,161,159,146,7,0,6,0,2,0,0,0
S01009374,One family household: Lone parent,41,41,34,6,0,1,0,0,0,0,0
S01009374,Other household types,15,15,13,1,1,0,0,0,0,0,0
S01009375,All households,337,336,300,30,5,1,0,0,0,0,1
S01009375,One person household,89,89,82,4,3,0,0,0,0,0,0
S01009375,One family household: Total,231,230,202,25,2,1,0,0,0,0,1
S01009375,One family household: All aged 65 and over,24,24,20,4,0,0,0,0,0,0,0
S01009375,One family household: Couple family,154,153,134,17,2,0,0,0,0,0,1
S01009375,One family household: Lone parent,53,53,48,4,0,1,0,0,0,0,0
S01009375,Other household types,17,17,16,1,0,0,0,0,0,0,0
S01009376,All households,271,268,241,22,2,3,0,2,1,0,0
S01009376,One person household,102,101,87,11,0,3,0,1,0,0,0
S01009376,One family household: Total,162,160,148,10,2,0,0,1,1,0,0
S01009376,One family household: All aged 65 and over,14,14,13,1,0,0,0,0,0,0,0
S01009376,One family household: Couple family,114,112,103,7,2,0,0,1,1,0,0
S01009376,One family household: Lone parent,34,34,32,2,0,0,0,0,0,0,0
S01009376,Other household types,7,7,6,1,0,0,0,0,0,0,0
S01009377,All households,373,366,288,59,2,17,0,7,0,0,0
S01009377,One person household,83,83,69,11,1,2,0,0,0,0,0
S01009377,One family household: Total,261,257,201,44,1,11,0,4,0,0,0
S01009377,One family household: All aged 65 and over,5,4,4,0,0,0,0,1,0,0,0
S01009377,One family household: Couple family,202,199,152,37,1,9,0,3,0,0,0
S01009377,One family household: Lone parent,54,54,45,7,0,2,0,0,0,0,0
S01009377,Other household types,29,26,18,4,0,4,0,3,0,0,0
S01009378,All households,388,383,318,58,4,3,1,4,0,0,0
S01009378,One person household,83,82,68,10,3,1,1,0,0,0,0
S01009378,One family household: Total,287,284,237,44,1,2,0,3,0,0,0
S01009378,One family household: All aged 65 and over,21,21,19,2,0,0,0,0,0,0,0
S01009378,One family household: Couple family,182,180,143,34,1,2,0,2,0,0,0
S01009378,One family household: Lone parent,84,83,75,8,0,0,0,1,0,0,0
S01009378,Other household types,18,17,13,4,0,0,0,1,0,0,0
S01009379,All households,337,330,285,41,0,4,1,3,0,2,1
S01009379,One person household,51,48,39,9,0,0,0,0,0,2,1
S01009379,One family household: Total,269,266,235,27,0,4,1,2,0,0,0
S01009379,One family household: All aged 65 and over,6,6,5,1,0,0,0,0,0,0,0
S01009379,One family household: Couple family,218,215,189,22,0,4,1,2,0,0,0
S01009379,One family household: Lone parent,45,45,41,4,0,0,0,0,0,0,0
S01009379,Other household types,17,16,11,5,0,0,0,1,0,0,0
S01009380,All households,200,197,137,48,2,10,1,1,1,0,0
S01009380,One person household,28,28,22,5,0,1,0,0,0,0,0
S01009380,One family household: Total,161,158,109,40,2,7,1,1,1,0,0
S01009380,One family household: All aged 65 and over,4,4,2,2,0,0,0,0,0,0,0
S01009380,One family household: Couple family,136,133,89,36,2,6,1,1,1,0,0
S01009380,One family household: Lone parent,21,21,18,2,0,1,0,0,0,0,0
S01009380,Other household types,11,11,6,3,0,2,0,0,0,0,0
S01009381,All households,284,282,226,46,5,5,0,2,0,0,0
S01009381,One person household,83,83,71,11,0,1,0,0,0,0,0
S01009381,One family household: Total,184,182,144,30,5,3,0,2,0,0,0
S01009381,One family household: All aged 65 and over,10,10,8,1,1,0,0,0,0,0,0
S01009381,One family household: Couple family,146,144,109,29,3,3,0,2,0,0,0
S01009381,One family household: Lone parent,28,28,27,0,1,0,0,0,0,0,0
S01009381,Other household types,17,17,11,5,0,1,0,0,0,0,0
S01009382,All households,377,375,329,34,9,3,0,1,1,0,0
S01009382,One person household,140,139,127,8,3,1,0,1,0,0,0
S01009382,One family household: Total,223,222,191,23,6,2,0,0,1,0,0
S01009382,One family household: All aged 65 and over,30,30,24,2,4,0,0,0,0,0,0
S01009382,One family household: Couple family,152,151,128,20,1,2,0,0,1,0,0
S01009382,One family household: Lone parent,41,41,39,1,1,0,0,0,0,0,0
S01009382,Other household types,14,14,11,3,0,0,0,0,0,0,0
S01009383,All households,439,433,374,40,8,11,0,4,1,1,0
S01009383,One person household,213,209,179,21,3,6,0,3,1,0,0
S01009383,One family household: Total,210,208,185,13,5,5,0,1,0,1,0
S01009383,One family household: All aged 65 and over,22,22,18,3,1,0,0,0,0,0,0
S01009383,One family household: Couple family,130,128,113,8,3,4,0,1,0,1,0
S01009383,One family household: Lone parent,58,58,54,2,1,1,0,0,0,0,0
S01009383,Other household types,16,16,10,6,0,0,0,0,0,0,0
S01009384,All households,248,245,191,44,3,7,0,3,0,0,0
S01009384,One person household,60,60,44,15,1,0,0,0,0,0,0
S01009384,One family household: Total,180,177,140,28,2,7,0,3,0,0,0
S01009384,One family household: All aged 65 and over,29,29,25,4,0,0,0,0,0,0,0
S01009384,One family household: Couple family,132,129,98,22,2,7,0,3,0,0,0
S01009384,One family household: Lone parent,19,19,17,2,0,0,0,0,0,0,0
S01009384,Other household types,8,8,7,1,0,0,0,0,0,0,0
S01009385,All households,220,219,185,24,5,5,0,0,1,0,0
S01009385,One person household,54,54,47,6,1,0,0,0,0,0,0
S01009385,One family household: Total,152,151,128,17,4,2,0,0,1,0,0
S01009385,One family household: All aged 65 and over,15,15,13,2,0,0,0,0,0,0,0
S01009385,One family household: Couple family,112,111,93,14,4,0,0,0,1,0,0
S01009385,One family household: Lone parent,25,25,22,1,0,2,0,0,0,0,0
S01009385,Other household types,14,14,10,1,0,3,0,0,0,0,0
S01009386,All households,279,276,248,25,1,2,0,2,0,0,1
S01009386,One person household,68,67,61,6,0,0,0,1,0,0,0
S01009386,One family household: Total,198,196,177,16,1,2,0,1,0,0,1
S01009386,One family household: All aged 65 and over,41,41,40,0,1,0,0,0,0,0,0
S01009386,One family household: Couple family,124,123,109,12,0,2,0,0,0,0,1
S01009386,One family household: Lone parent,33,32,28,4,0,0,0,1,0,0,0
S01009386,Other household types,13,13,10,3,0,0,0,0,0,0,0
S01009387,All households,260,258,218,24,8,8,0,1,1,0,0
S01009387,One person household,64,64,56,6,2,0,0,0,0,0,0
S01009387,One family household: Total,188,186,156,17,6,7,0,1,1,0,0
S01009387,One family household: All aged 65 and over,25,25,23,0,1,1,0,0,0,0,0
S01009387,One family household: Couple family,116,114,90,15,4,5,0,1,1,0,0
S01009387,One family household: Lone parent,47,47,43,2,1,1,0,0,0,0,0
S01009387,Other household types,8,8,6,1,0,1,0,0,0,0,0
S01009388,All households,423,417,359,37,0,21,1,3,2,0,0
S01009388,One person household,157,157,138,13,0,6,0,0,0,0,0
S01009388,One family household: Total,252,247,211,23,0,13,0,3,2,0,0
S01009388,One family household: All aged 65 and over,10,10,10,0,0,0,0,0,0,0,0
S01009388,One family household: Couple family,147,143,115,18,0,10,0,2,2,0,0
S01009388,One family household: Lone parent,95,94,86,5,0,3,0,1,0,0,0
S01009388,Other household types,14,13,10,1,0,2,1,0,0,0,0
S01009389,All households,460,457,385,59,3,10,1,2,0,0,0
S01009389,One person household,186,184,156,22,1,5,1,1,0,0,0
S01009389,One family household: Total,259,258,216,35,2,5,0,1,0,0,0
S01009389,One family household: All aged 65 and over,45,45,39,6,0,0,0,0,0,0,0
S01009389,One family household: Couple family,186,185,154,27,1,3,0,1,0,0,0
S01009389,One family household: Lone parent,28,28,23,2,1,2,0,0,0,0,0
S01009389,Other household types,15,15,13,2,0,0,0,0,0,0,0
S01009390,All households,270,260,192,56,5,7,2,7,1,0,0
S01009390,One person household,45,43,27,15,1,0,0,2,0,0,0
S01009390,One family household: Total,220,213,162,41,3,7,2,4,1,0,0
S01009390,One family household: All aged 65 and over,10,10,8,2,0,0,0,0,0,0,0
S01009390,One family household: Couple family,197,190,143,37,3,7,2,4,1,0,0
S01009390,One family household: Lone parent,13,13,11,2,0,0,0,0,0,0,0
S01009390,Other household types,5,4,3,0,1,0,0,1,0,0,0
S01009391,All households,259,254,195,47,3,9,1,2,2,0,0
S01009391,One person household,41,41,33,8,0,0,0,0,0,0,0
S01009391,One family household: Total,209,204,154,38,3,9,1,2,2,0,0
S01009391,One family household: All aged 65 and over,7,7,5,1,0,1,0,0,0,0,0
S01009391,One family household: Couple family,182,177,132,35,3,7,1,2,2,0,0
S01009391,One family household: Lone parent,20,20,17,2,0,1,0,0,0,0,0
S01009391,Other household types,9,9,8,1,0,0,0,0,0,0,0
S01009392,All households,193,189,139,39,4,7,0,2,0,1,1
S01009392,One person household,24,24,19,5,0,0,0,0,0,0,0
S01009392,One family household: Total,165,161,117,33,4,7,0,2,0,1,1
S01009392,One family household: All aged 65 and over,7,7,7,0,0,0,0,0,0,0,0
S01009392,One family household: Couple family,150,146,104,31,4,7,0,2,0,1,1
S01009392,One family household: Lone parent,8,8,6,2,0,0,0,0,0,0,0
S01009392,Other household types,4,4,3,1,0,0,0,0,0,0,0
S01009393,All households,265,263,216,38,3,6,0,2,0,0,0
S01009393,One person household,46,46,42,3,1,0,0,0,0,0,0
S01009393,One family household: Total,209,208,168,32,2,6,0,1,0,0,0
S01009393,One family household: All aged 65 and over,21,21,14,7,0,0,0,0,0,0,0
S01009393,One family household: Couple family,166,165,134,23,2,6,0,1,0,0,0
S01009393,One family household: Lone parent,22,22,20,2,0,0,0,0,0,0,0
S01009393,Other household types,10,9,6,3,0,0,0,1,0,0,0
S01009394,All households,451,432,342,69,3,18,1,14,2,1,1
S01009394,One person household,188,177,140,29,2,6,1,8,1,1,0
S01009394,One family household: Total,250,245,194,38,1,12,0,3,1,0,1
S01009394,One family household: All aged 65 and over,35,35,30,5,0,0,0,0,0,0,0
S01009394,One family household: Couple family,191,186,142,31,1,12,0,3,1,0,1
S01009394,One family household: Lone parent,24,24,22,2,0,0,0,0,0,0,0
S01009394,Other household types,13,10,8,2,0,0,0,3,0,0,0
S01009395,All households,305,301,213,79,7,2,0,3,0,0,1
S01009395,One person household,73,73,56,15,2,0,0,0,0,0,0
S01009395,One family household: Total,224,220,151,63,4,2,0,3,0,0,1
S01009395,One family household: All aged 65 and over,53,53,38,14,1,0,0,0,0,0,0
S01009395,One family household: Couple family,152,148,96,47,3,2,0,3,0,0,1
S01009395,One family household: Lone parent,19,19,17,2,0,0,0,0,0,0,0
S01009395,Other household types,8,8,6,1,1,0,0,0,0,0,0
S01009396,All households,301,293,217,69,4,3,2,5,0,0,1
S01009396,One person household,50,50,39,10,0,1,0,0,0,0,0
S01009396,One family household: Total,238,231,169,57,3,2,2,4,0,0,1
S01009396,One family household: All aged 65 and over,52,49,37,11,0,1,1,1,0,0,1
S01009396,One family household: Couple family,170,166,121,41,3,1,1,3,0,0,0
S01009396,One family household: Lone parent,16,16,11,5,0,0,0,0,0,0,0
S01009396,Other household types,13,12,9,2,1,0,0,1,0,0,0
S01009397,All households,330,324,253,62,2,7,0,4,0,0,2
S01009397,One person household,113,112,95,16,0,1,0,0,0,0,1
S01009397,One family household: Total,207,202,153,43,0,6,0,4,0,0,1
S01009397,One family household: All aged 65 and over,35,35,29,5,0,1,0,0,0,0,0
S01009397,One family household: Couple family,154,150,114,33,0,3,0,3,0,0,1
S01009397,One family household: Lone parent,18,17,10,5,0,2,0,1,0,0,0
S01009397,Other household types,10,10,5,3,2,0,0,0,0,0,0
S01009398,All households,308,302,253,42,2,5,1,4,0,1,0
S01009398,One person household,97,96,79,16,0,1,0,1,0,0,0
S01009398,One family household: Total,206,201,169,26,2,4,1,3,0,1,0
S01009398,One family household: All aged 65 and over,21,21,18,3,0,0,0,0,0,0,0
S01009398,One family household: Couple family,160,156,129,22,1,4,1,2,0,1,0
S01009398,One family household: Lone parent,25,24,22,1,1,0,0,1,0,0,0
S01009398,Other household types,5,5,5,0,0,0,0,0,0,0,0
S01009399,All households,311,308,246,55,1,6,1,2,0,0,0
S01009399,One person household,84,82,71,10,0,1,0,2,0,0,0
S01009399,One family household: Total,223,222,172,44,1,5,1,0,0,0,0
S01009399,One family household: All aged 65 and over,37,37,29,8,0,0,0,0,0,0,0
S01009399,One family household: Couple family,167,166,131,30,1,4,1,0,0,0,0
S01009399,One family household: Lone parent,19,19,12,6,0,1,0,0,0,0,0
S01009399,Other household types,4,4,3,1,0,0,0,0,0,0,0
S01009400,All households,221,219,189,24,3,3,0,2,0,0,0
S01009400,One person household,58,58,51,6,0,1,0,0,0,0,0
